artist,duration,genre,label,tags,title,album,date,likes,stream
Eminem,297822,Hip Hop,Aftermath,,Till I Collapse (feat. Nate Dogg),,2016-03-30T15:24:43Z,13112,957364
Eminem,320340,Hip Hop,Shady Records,Pop,Lose Yourself,,2016-03-30T15:23:41Z,239550,15070189
Eminem,263419,Hip Hop,Aftermath,,Love The Way You Lie (feat. Rihanna),,2016-03-30T15:23:54Z,31283,1965851
Eminem,293094,Hip Hop,Aftermath,Pop,Without Me,,2016-03-30T15:24:40Z,523062,35736917
Eminem,295967,Hip Hop,Aftermath,Pop,Like Toy Soldiers,,2016-03-30T15:23:29Z,154804,10482768
Eminem,250802,Hip Hop,Aftermath,Pop,Mockingbird,,2016-03-30T15:23:31Z,12600,786723
Eminem,434129,Rap,Aftermath,,Bad Guy,,2016-06-28T13:09:13Z,3648,306303
Eminem,289019,Rap,Aftermath,,Asshole (feat. Skylar Grey),,2016-06-28T13:12:04Z,2320,188955
Eminem,250227,Rap,Aftermath,,The Monster (feat. Rihanna),,2016-03-30T15:23:25Z,206584,12689289
Eminem,404140,Hip Hop,Interscope,Pop,Stan (feat. Dido),,2016-03-30T15:23:41Z,33415,2106559
Eminem,281365,Hip Hop,Aftermath,,When I'm Gone,,2016-03-30T15:24:36Z,348906,24618618
Eminem,248163,Hip Hop,Aftermath,,Not Afraid,,2016-03-30T15:24:11Z,414305,28807095
Eminem,299546,Hip Hop,Aftermath,,No Love (feat. Lil Wayne),,2016-06-28T13:03:04Z,14816,998300
Eminem,278674,Hip Hop,Aftermath,,Space Bound,,2016-06-28T13:01:53Z,11759,849894
Eminem,264438,Hip Hop,Interscope,,Kill You,,2016-03-30T15:23:39Z,10531,713125
Eminem,392856,Hip Hop,Aftermath,,Beautiful,,2016-03-30T15:23:43Z,20581,1389272
Dr. Dre,283820,Hip Hop,Aftermath,,I Need A Doctor (feat. Eminem & Skylar Grey),,2016-03-18T15:40:08Z,8795,1301017
Eminem,339592,Hip Hop,Aftermath,Pop,Sing For The Moment,,2016-03-30T15:24:44Z,12892,913185
Eminem,296307,Rap,Aftermath,,Legacy,,2016-06-28T13:07:12Z,4090,290131
Eminem,269712,Hip Hop,Aftermath,,We Made You,,2016-03-30T15:23:37Z,4568,327560
Eminem,257933,Hip Hop,Shady Records,,You Don't Know,,2016-06-04T03:58:40Z,3938,291586
Lil Wayne,229323,Hip Hop,CM/Republic,,Drop The World (feat. Eminem),,2016-03-19T01:35:24Z,132835,8444656
"Drake, Kanye West, Lil Wayne, Eminem",357381,Hip Hop,Interscope,,Forever (Album Version (Explicit)),,2016-06-04T04:01:58Z,9755,713210
Notorious B.I.G.,297456,Rap/Hip Hop,Bad Boy Records,,Dead Wrong (feat. Eminem) [2005 Remaster],,2016-04-03T12:53:16Z,8888,471992
